country,iso_a3,urban_pop,gdp_per_capita,pop_est,continent,region_un
Afghanistan,AFG,28.624544,1357.9878,40578801,Asia,Asia
Albania,ALB,60.694756,12978.101,2827562,Europe,Europe
Algeria,DZA,71.448296,13506.444,45477339,Africa,Africa
Angola,AGO,66.44555,6118.905,35634984,Africa,Africa
Argentina,ARG,94.35072,18292.318,45407866,South America,Americas
Armenia,ARM,69.70461,13837.577,2880829,Asia,Asia
Australia,AUS,91.03619,52049.43,26200929,Oceania,Oceania
Austria,AUT,71.53455,43792.855,9064633,Europe,Europe
Azerbaijan,AZE,59.687744,17682.94,10295256,Asia,Asia
Bangladesh,BGD,35.50516,4925.721,169384838,Asia,Asia
Belarus,BLR,78.82908,18699.799,9173190,Europe,Europe
Belgium,BEL,97.72505,41872.395,11641759,Europe,Europe
Benin,BEN,49.601788,2477.0903,13759458,Africa,Africa
Bolivia,BOL,71.030876,6481.3906,12077101,South America,Americas
Bosnia and Herzegovina,BIH,55.636303,12142.863,3204770,Europe,Europe
Botswana,BWA,67.88448,16351.91,2439843,Africa,Africa
Brazil,BRA,89.01066,14640.076,210306358,South America,Americas
Bulgaria,BGR,75.861664,20592.455,6825817,Europe,Europe
Burkina Faso,BFA,34.570763,1704.966,22508995,Africa,Africa
Burundi,BDI,15.80286,717.22845,13321056,Africa,Africa
Cambodia,KHM,25.178072,3944.2468,17201662,Asia,Asia
Cameroon,CMR,66.05114,2812.2148,27632723,Africa,Africa
Canada,CAN,84.399826,45529.645,38821209,North America,Americas
Central African Republic,CAF,46.061543,596.393,5097987,Africa,Africa
Chad,TCD,35.104958,1393.5635,18455270,Africa,Africa
Chile,CHL,91.72559,22740.72,19552984,South America,Americas
China,CHN,55.900593,19238.18,1425179509,Asia,Asia
Colombia,COL,79.940155,14468.964,51737891,South America,Americas
Congo,COG,68.34945,4187.507,6035057,Africa,Africa
Costa Rica,CRI,69.984215,15496.82,5081715,North America,Americas
Cote d’Ivoire,CIV,58.102314,4011.7122,30394949,Africa,Africa
Croatia,HRV,64.741394,26986.752,3906988,Europe,Europe
Cuba,CUB,79.67266,7648.704,11059772,North America,Americas
Cyprus,CYP,61.253,31523.498,1331324,Asia,Asia
Czechia,CZE,78.00106,32247.395,10673169,Europe,Europe
Democratic Republic of Congo,COD,42.79737,844.172,102396919,Africa,Africa
Denmark,DNK,89.16665,50689.68,5902846,Europe,Europe
Djibouti,DJI,83.079254,3623.0603,1137052,Africa,Africa
Dominican Republic,DOM,74.136505,17713.52,11230686,North America,Americas
Ecuador,ECU,71.48117,10124.076,17823857,South America,Americas
Egypt,EGY,50.814186,13205.406,112618191,Africa,Africa
El Salvador,SLV,69.81238,9218.905,6280269,North America,Americas
Equatorial Guinea,GNQ,44.509995,22707.22,1803496,Africa,Africa
Estonia,EST,73.46811,30067.395,1350038,Europe,Europe
Eswatini,SWZ,27.412643,8522.45,1218873,Africa,Africa
Ethiopia,ETH,21.863335,2289.409,125384244,Africa,Africa
Finland,FIN,87.650856,40701.465,5569254,Europe,Europe
Gabon,GAB,89.014084,15720.901,2430702,Africa,Africa
Gambia,GMB,41.16787,2010.5322,2636423,Africa,Africa
